,Cities,Check-In / Check-Out,Test Loss Compromise,Total Student Tested,Drug Specimen Processing,HIV Sample Processing,CLIP,Accuracy of Fee-Basis Provider Work Hour Data,Citibank CBA,Citibank IBA,Timeliness of Awards ,Timeliness of  Evals,Supervisors Training,ATAAPS,Training,Total Possible Points,Total Points Earned,Percentage
0,Atlanta,1.0,0.0,4.0,2.0,4.0,2.0,10.0,4.0,0.0,2.0,1.0,7.0,8.0,4.0,142.0,49.0,0.34507042253521125
1,Baltimore,7.0,6.0,10.0,9.0,9.0,2.0,10.0,10.0,7.0,7.0,5.0,9.0,7.0,5.0,142.0,103.0,0.7253521126760564
2,Chicago,5.0,9.0,9.0,5.0,4.0,3.0,5.0,5.0,9.0,8.0,7.0,0.0,2.0,10.0,142.0,81.0,0.5704225352112676
3,Columbus,5.0,10.0,4.0,10.0,10.0,1.0,6.0,10.0,4.0,4.0,8.0,9.0,9.0,0.0,142.0,90.0,0.6338028169014085
4,Dallas,7.0,1.0,8.0,6.0,8.0,6.0,7.0,6.0,4.0,2.0,6.0,8.0,10.0,8.0,142.0,87.0,0.6126760563380281
5,Fort Jackson,0.0,9.0,2.0,2.0,6.0,3.0,1.0,9.0,5.0,7.0,9.0,1.0,8.0,2.0,142.0,64.0,0.4507042253521127
6,Fort Lee,0.0,1.0,7.0,1.0,7.0,10.0,3.0,2.0,7.0,2.0,10.0,1.0,6.0,8.0,142.0,65.0,0.45774647887323944
7,Houston,1.0,7.0,4.0,7.0,5.0,9.0,7.0,9.0,4.0,1.0,7.0,0.0,9.0,0.0,142.0,70.0,0.49295774647887325
8,Jacksonville,3.0,6.0,10.0,2.0,9.0,3.0,5.0,4.0,0.0,7.0,4.0,3.0,5.0,5.0,142.0,66.0,0.4647887323943662
9,Los Angeles,2.0,10.0,0.0,1.0,4.0,7.0,3.0,8.0,6.0,9.0,9.0,0.0,1.0,3.0,142.0,63.0,0.44366197183098594
10,Miami,5.0,5.0,3.0,1.0,5.0,9.0,8.0,5.0,8.0,10.0,9.0,0.0,10.0,5.0,142.0,83.0,0.5845070422535211
11,Montgomery,3.0,2.0,10.0,0.0,4.0,9.0,7.0,5.0,7.0,9.0,9.0,6.0,5.0,1.0,142.0,77.0,0.5422535211267606
12,New York,9.0,1.0,10.0,10.0,1.0,4.0,6.0,4.0,4.0,1.0,5.0,1.0,10.0,4.0,142.0,70.0,0.49295774647887325
13,Phoenix,1.0,5.0,6.0,1.0,8.0,1.0,3.0,10.0,9.0,6.0,10.0,9.0,5.0,7.0,142.0,81.0,0.5704225352112676
14,Raleigh,8.0,0.0,10.0,9.0,3.0,1.0,8.0,3.0,1.0,5.0,5.0,9.0,1.0,4.0,142.0,67.0,0.47183098591549294
15,Sacramento,0.0,5.0,2.0,7.0,4.0,4.0,2.0,7.0,1.0,8.0,2.0,7.0,5.0,5.0,142.0,59.0,0.4154929577464789
16,San Antonio,4.0,10.0,2.0,6.0,6.0,10.0,4.0,6.0,3.0,1.0,7.0,0.0,1.0,1.0,142.0,61.0,0.4295774647887324
17,San Diego,3.0,3.0,3.0,6.0,2.0,6.0,1.0,0.0,5.0,3.0,9.0,5.0,2.0,10.0,142.0,58.0,0.4084507042253521
18,San Jose,0.0,3.0,8.0,4.0,4.0,6.0,5.0,2.0,10.0,9.0,0.0,9.0,9.0,1.0,142.0,70.0,0.49295774647887325
19,St Louis,6.0,5.0,7.0,1.0,6.0,9.0,8.0,5.0,1.0,6.0,7.0,0.0,7.0,8.0,142.0,76.0,0.5352112676056338
20,Tampa,10.0,0.0,1.0,4.0,5.0,10.0,8.0,4.0,1.0,5.0,2.0,2.0,10.0,9.0,142.0,71.0,0.5
21,Boston,6.0,8.0,1.0,1.0,8.0,6.0,0.0,6.0,5.0,1.0,3.0,10.0,7.0,5.0,142.0,67.0,0.47183098591549294
22,Charlotte,5.0,5.0,8.0,7.0,2.0,4.0,10.0,10.0,4.0,10.0,1.0,9.0,8.0,0.0,142.0,83.0,0.5845070422535211
23,Cleveland,7.0,2.0,2.0,7.0,9.0,3.0,1.0,8.0,6.0,1.0,2.0,6.0,5.0,4.0,142.0,63.0,0.44366197183098594
24,Denver,0.0,0.0,6.0,9.0,9.0,0.0,3.0,6.0,7.0,1.0,1.0,0.0,2.0,4.0,142.0,48.0,0.3380281690140845
25,Detroit,3.0,9.0,4.0,4.0,3.0,1.0,6.0,9.0,7.0,10.0,2.0,5.0,5.0,0.0,142.0,68.0,0.4788732394366197
26,Fort Dix,2.0,7.0,2.0,7.0,1.0,5.0,8.0,5.0,2.0,7.0,4.0,9.0,9.0,0.0,142.0,68.0,0.4788732394366197
27,Harrisburg,7.0,5.0,10.0,4.0,8.0,1.0,6.0,10.0,10.0,9.0,1.0,10.0,7.0,4.0,142.0,92.0,0.647887323943662
28,Indianapolis,2.0,9.0,9.0,1.0,10.0,10.0,4.0,10.0,5.0,9.0,3.0,3.0,4.0,1.0,142.0,80.0,0.5633802816901409
29,Kansas City,9.0,6.0,2.0,9.0,0.0,7.0,10.0,7.0,7.0,0.0,9.0,0.0,0.0,2.0,142.0,68.0,0.4788732394366197
30,Knoxville,5.0,10.0,7.0,1.0,6.0,7.0,6.0,2.0,7.0,6.0,7.0,3.0,7.0,1.0,142.0,75.0,0.528169014084507
31,Lansing,3.0,1.0,7.0,2.0,7.0,1.0,6.0,0.0,9.0,4.0,7.0,2.0,6.0,10.0,142.0,65.0,0.45774647887323944
32,Louisville,3.0,0.0,7.0,6.0,2.0,5.0,9.0,9.0,10.0,7.0,5.0,8.0,2.0,7.0,142.0,80.0,0.5633802816901409
33,Milwaukee,10.0,2.0,3.0,0.0,5.0,5.0,3.0,4.0,1.0,10.0,6.0,8.0,10.0,2.0,142.0,69.0,0.4859154929577465
34,Minneapolis,5.0,8.0,8.0,8.0,6.0,1.0,9.0,1.0,10.0,1.0,6.0,10.0,2.0,3.0,142.0,78.0,0.5492957746478874
35,Nashville,10.0,3.0,3.0,2.0,0.0,0.0,5.0,5.0,3.0,8.0,8.0,3.0,2.0,8.0,142.0,60.0,0.4225352112676056
36,New Orleans,2.0,4.0,8.0,5.0,1.0,9.0,9.0,4.0,3.0,9.0,2.0,0.0,3.0,3.0,142.0,62.0,0.43661971830985913
37,Oklahoma City,0.0,5.0,0.0,6.0,5.0,8.0,10.0,1.0,4.0,4.0,9.0,10.0,4.0,7.0,142.0,73.0,0.5140845070422535
38,Pittsburgh,3.0,0.0,6.0,5.0,2.0,2.0,2.0,0.0,6.0,9.0,7.0,10.0,10.0,3.0,142.0,65.0,0.45774647887323944
39,Portland OR,1.0,10.0,10.0,10.0,3.0,5.0,2.0,0.0,9.0,6.0,1.0,8.0,2.0,10.0,142.0,77.0,0.5422535211267606
40,Salt Lake City,7.0,3.0,6.0,2.0,6.0,8.0,5.0,5.0,3.0,2.0,6.0,9.0,0.0,1.0,142.0,63.0,0.44366197183098594
41,Seattle,2.0,6.0,5.0,1.0,1.0,8.0,5.0,9.0,5.0,1.0,8.0,9.0,6.0,2.0,142.0,68.0,0.4788732394366197
42,Springfield,1.0,8.0,5.0,2.0,0.0,1.0,0.0,2.0,5.0,1.0,2.0,7.0,1.0,3.0,142.0,38.0,0.2676056338028169
43,Albany,7.0,6.0,3.0,0.0,9.0,3.0,10.0,3.0,7.0,5.0,3.0,8.0,4.0,2.0,142.0,70.0,0.49295774647887325
44,Albuquerque,0.0,9.0,5.0,4.0,10.0,10.0,9.0,3.0,5.0,3.0,6.0,3.0,4.0,5.0,142.0,76.0,0.5352112676056338
45,Amarillo,6.0,4.0,8.0,10.0,2.0,6.0,5.0,9.0,6.0,1.0,3.0,7.0,2.0,9.0,142.0,78.0,0.5492957746478874
46,Anchorage,6.0,2.0,7.0,3.0,5.0,5.0,7.0,3.0,8.0,3.0,0.0,5.0,6.0,2.0,142.0,62.0,0.43661971830985913
47,Beckley,8.0,9.0,7.0,5.0,8.0,5.0,3.0,1.0,5.0,0.0,6.0,1.0,10.0,1.0,142.0,69.0,0.4859154929577465
48,Boise,2.0,4.0,5.0,0.0,6.0,5.0,8.0,8.0,6.0,6.0,7.0,3.0,7.0,9.0,142.0,76.0,0.5352112676056338
49,Buffalo,0.0,8.0,3.0,8.0,7.0,3.0,5.0,9.0,6.0,4.0,5.0,10.0,0.0,9.0,142.0,77.0,0.5422535211267606
50,Butte,9.0,4.0,0.0,7.0,8.0,3.0,10.0,10.0,1.0,7.0,0.0,10.0,3.0,8.0,142.0,80.0,0.5633802816901409
51,Des Moines,9.0,7.0,2.0,10.0,4.0,4.0,5.0,10.0,7.0,10.0,2.0,9.0,8.0,1.0,142.0,88.0,0.6197183098591549
52,El Paso,10.0,1.0,10.0,4.0,0.0,6.0,6.0,4.0,4.0,5.0,9.0,9.0,10.0,2.0,142.0,80.0,0.5633802816901409
53,Fargo,8.0,1.0,10.0,1.0,3.0,8.0,3.0,1.0,1.0,8.0,2.0,4.0,3.0,9.0,142.0,62.0,0.43661971830985913
54,Honolulu,4.0,9.0,8.0,1.0,1.0,6.0,1.0,1.0,1.0,7.0,3.0,3.0,6.0,2.0,142.0,53.0,0.3732394366197183
55,Jackson,7.0,9.0,8.0,10.0,7.0,0.0,10.0,7.0,4.0,10.0,3.0,2.0,3.0,6.0,142.0,86.0,0.6056338028169014
56,Little Rock,2.0,4.0,9.0,3.0,0.0,4.0,5.0,10.0,4.0,8.0,4.0,0.0,2.0,6.0,142.0,61.0,0.4295774647887324
57,Memphis,5.0,8.0,2.0,9.0,0.0,2.0,5.0,4.0,8.0,5.0,10.0,10.0,7.0,9.0,142.0,84.0,0.5915492957746479
58,Omaha,2.0,2.0,3.0,8.0,6.0,4.0,4.0,6.0,0.0,8.0,5.0,0.0,3.0,9.0,142.0,60.0,0.4225352112676056
59,Portland ME,10.0,8.0,9.0,0.0,0.0,5.0,4.0,3.0,6.0,8.0,6.0,5.0,9.0,10.0,142.0,83.0,0.5845070422535211
60,San Juan,9.0,9.0,6.0,7.0,7.0,5.0,1.0,1.0,6.0,5.0,3.0,8.0,3.0,5.0,142.0,75.0,0.528169014084507
61,Shreveport,10.0,4.0,6.0,8.0,4.0,1.0,9.0,9.0,4.0,8.0,5.0,1.0,0.0,4.0,142.0,73.0,0.5140845070422535
62,Sioux Falls,7.0,7.0,10.0,6.0,3.0,8.0,9.0,4.0,6.0,6.0,8.0,3.0,6.0,5.0,142.0,88.0,0.6197183098591549
63,Spokane,9.0,1.0,9.0,4.0,2.0,2.0,2.0,9.0,8.0,10.0,2.0,3.0,0.0,0.0,142.0,61.0,0.4295774647887324
64,Syracuse,9.0,1.0,2.0,6.0,4.0,5.0,1.0,10.0,7.0,6.0,1.0,3.0,4.0,4.0,142.0,63.0,0.44366197183098594
